                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0297,                 0.6026,                  1.036,                 1.1378,                0.59168,                 1.0595,                0.84944,                0.84188,                0.86765,                 0.5602,                 1.1561,                0.56992,                 1.1474,                 1.2218,                0.54583,                 1.1622,              0.0077097,              0.0077097,              0.0077097
                     65,                 1.0323,                0.61544,                 1.0316,                 1.1472,                0.60916,                 1.0591,                 0.9529,                0.80413,                 0.8953,                0.57852,                 1.1444,                0.57484,                 1.1413,                 1.2127,                0.55388,                 1.1544,              0.0076728,              0.0076728,              0.0076728
                     66,                 1.0327,                0.61398,                 1.0416,                 1.1489,                0.59585,                 1.0679,                0.93618,                0.77244,                0.87266,                0.57278,                 1.1055,                0.54832,                 1.1388,                 1.1748,                0.51353,                 1.1482,              0.0076358,              0.0076358,              0.0076358
                     67,                 1.0232,                0.61651,                  1.041,                 1.1377,                0.60052,                 1.0625,                 0.9138,                0.87136,                0.89336,                0.58613,                 1.1546,                0.55884,                 1.1598,                 1.1906,                0.54754,                 1.1602,              0.0075989,              0.0075989,              0.0075989
                     68,                  1.017,                0.60813,                 1.0267,                 1.1243,                0.59564,                 1.0452,                0.88088,                0.82642,                0.87875,                0.58768,                 1.1316,                0.56013,                 1.1443,                 1.1933,                0.53347,                 1.1621,              0.0075619,              0.0075619,              0.0075619
                     69,                 1.0212,                0.60204,                 1.0331,                 1.1265,                 0.5716,                 1.0515,                  0.859,                0.83241,                0.88965,                0.58315,                   1.17,                 0.5733,                 1.1631,                 1.2008,                0.53347,                 1.1567,               0.007525,               0.007525,               0.007525
                     70,                 1.0334,                0.61757,                 1.0454,                 1.1417,                0.62152,                 1.0674,                0.89956,                0.81591,                0.89552,                 0.5803,                  1.175,                0.55203,                 1.1705,                 1.2113,                0.52552,                 1.1755,              0.0074881,              0.0074881,              0.0074881
                     71,                 1.0233,                0.59283,                 1.0294,                 1.1442,                0.58057,                 1.0571,                0.87106,                0.84081,                 0.8719,                0.57304,                 1.1551,                0.56853,                 1.1623,                 1.2052,                0.54903,                 1.1733,              0.0074511,              0.0074511,              0.0074511
                     72,                  1.001,                0.58842,                 1.0253,                 1.1115,                0.57083,                 1.0567,                0.89395,                0.83589,                0.85788,                0.56202,                 1.1476,                0.55834,                 1.1399,                 1.2003,                0.53987,                 1.1585,              0.0074142,              0.0074142,              0.0074142
                     73,                 1.0164,                0.60208,                 1.0281,                 1.1212,                 0.5819,                 1.0542,                0.92885,                0.82295,                0.90372,                 0.5892,                 1.1471,                0.54396,                  1.154,                 1.2156,                0.53108,                 1.1719,              0.0073772,              0.0073772,              0.0073772
